date,o_improvement,track,shortcut
2018-03-15,0.033042394014962555,Kalimari Desert,No Shortcut
2018-03-23,0.0337437655860349,Kalimari Desert,No Shortcut
2018-04-20,0.03413341645885284,Kalimari Desert,No Shortcut
1999-06-14,0,Kalimari Desert,Shortcut
1999-08-07,0.011200370770894617,Kalimari Desert,Shortcut
2000-11-18,0.02610845048663687,Kalimari Desert,Shortcut
2000-11-18,0.027421597404603825,Kalimari Desert,Shortcut
2010-02-20,0.03336938050363052,Kalimari Desert,Shortcut
2010-02-21,0.03669086976672342,Kalimari Desert,Shortcut
2010-12-17,0.0378495288119883,Kalimari Desert,Shortcut
2012-07-18,0.04240692105669712,Kalimari Desert,Shortcut
2012-07-27,0.04426077552912099,Kalimari Desert,Shortcut
2015-03-08,0.049049899582882805,Kalimari Desert,Shortcut
2016-04-09,0.051289973737061754,Kalimari Desert,Shortcut
2017-12-13,0.054070755445697616,Kalimari Desert,Shortcut
2020-01-20,0.05824192800865136,Kalimari Desert,Shortcut
1998-09-11,0,Toad's Turnpike,No Shortcut
1998-09-13,0.0010405827263267305,Toad's Turnpike,No Shortcut
1998-09-22,0.003559888274275731,Toad's Turnpike,No Shortcut
1998-10-19,0.0037241908100115384,Toad's Turnpike,No Shortcut
1998-10-24,0.004983843583985961,Toad's Turnpike,No Shortcut
1999-01-29,0.007229311572375229,Toad's Turnpike,No Shortcut
1999-04-02,0.007448381620023077,Toad's Turnpike,No Shortcut
1999-04-28,0.008543731858261691,Toad's Turnpike,No Shortcut
1999-06-02,0.009584314584588423,Toad's Turnpike,No Shortcut
1999-11-03,0.012048852620625538,Toad's Turnpike,No Shortcut
2000-02-15,0.014075250561366959,Toad's Turnpike,No Shortcut
2000-03-03,0.015006298263869922,Toad's Turnpike,No Shortcut
2003-05-05,0.01621118352593246,Toad's Turnpike,No Shortcut
2004-09-13,0.017361301276082958,Toad's Turnpike,No Shortcut
2004-10-30,0.017744673859466615,Toad's Turnpike,No Shortcut
2004-10-30,0.01829234897858592,Toad's Turnpike,No Shortcut
2004-10-30,0.01911386165726496,Toad's Turnpike,No Shortcut
2010-01-09,0.019442466728736577,Toad's Turnpike,No Shortcut
2010-01-09,0.020099676871679652,Toad's Turnpike,No Shortcut
2012-07-24,0.020318746919327498,Toad's Turnpike,No Shortcut
2012-09-16,0.020647351990799114,Toad's Turnpike,No Shortcut
2013-02-14,0.020811654526534922,Toad's Turnpike,No Shortcut
2014-03-23,0.02097595706227073,Toad's Turnpike,No Shortcut
2014-07-29,0.021687934717125844,Toad's Turnpike,No Shortcut
2017-01-31,0.022509447395804884,Toad's Turnpike,No Shortcut
2017-12-28,0.02261898241962865,Toad's Turnpike,No Shortcut
2017-12-28,0.022947587491100267,Toad's Turnpike,No Shortcut
2017-12-28,0.023385727586395805,Toad's Turnpike,No Shortcut
2019-01-08,0.02371433265786742,Toad's Turnpike,No Shortcut
2019-01-24,0.023933402705515115,Toad's Turnpike,No Shortcut
2019-03-06,0.023988170217426996,Toad's Turnpike,No Shortcut
2019-07-23,0.023988170217426996,Toad's Turnpike,No Shortcut
2019-11-20,0.024152472753162804,Toad's Turnpike,No Shortcut
2020-06-11,0.024371542800810653,Toad's Turnpike,No Shortcut
2020-06-15,0.02448107782463442,Toad's Turnpike,No Shortcut
2020-09-12,0.024700147872282266,Toad's Turnpike,No Shortcut
2020-09-13,0.02486445040801792,Toad's Turnpike,No Shortcut
2020-09-19,0.025138287967577652,Toad's Turnpike,No Shortcut
2020-09-19,0.025193055479489534,Toad's Turnpike,No Shortcut
2020-09-20,0.025466893039049268,Toad's Turnpike,No Shortcut
2020-09-25,0.025466893039049268,Toad's Turnpike,No Shortcut
2020-09-28,0.026233638205816267,Toad's Turnpike,No Shortcut
1998-09-22,0,Toad's Turnpike,Shortcut
1998-09-30,0.005739007593148433,Toad's Turnpike,Shortcut
1999-04-18,0.011124845488257028,Toad's Turnpike,Shortcut
1999-04-18,0.012096062157866771,Toad's Turnpike,Shortcut
1999-04-18,0.01227264700688669,Toad's Turnpike,Shortcut
1999-04-18,0.01315557125198641,Toad's Turnpike,Shortcut
1999-05-18,0.013685325799046293,Toad's Turnpike,Shortcut
1999-05-18,0.01615751368532566,Toad's Turnpike,Shortcut
1999-10-31,0.018629701571605026,Toad's Turnpike,Shortcut
2000-04-27,0.019071163694155013,Toad's Turnpike,Shortcut
2001-03-16,0.019954087939254732,Toad's Turnpike,Shortcut
2003-09-26,0.024192124315733542,Toad's Turnpike,Shortcut
2004-03-03,0.027547236447112756,Toad's Turnpike,Shortcut
2009-10-16,0.03434575313438095,Toad's Turnpike,Shortcut
2013-05-15,0.034610630407910896,Toad's Turnpike,Shortcut
2013-07-30,0.0359350167755606,Toad's Turnpike,Shortcut
2014-09-14,0.03637647889811046,Toad's Turnpike,Shortcut
2016-03-09,0.03699452586968036,Toad's Turnpike,Shortcut
2020-06-18,0.03717111071870028,Toad's Turnpike,Shortcut
2020-08-05,0.47554299841073633,Toad's Turnpike,Shortcut
2020-08-05,0.5177467773265054,Toad's Turnpike,Shortcut
2020-08-05,0.5434398728589087,Toad's Turnpike,Shortcut
2020-08-05,0.5438813349814586,Toad's Turnpike,Shortcut
2020-08-05,0.5471481546883277,Toad's Turnpike,Shortcut
2020-08-05,0.553770086526576,Toad's Turnpike,Shortcut
2020-08-05,0.5603920183648242,Toad's Turnpike,Shortcut
2020-08-05,0.5678085820236624,Toad's Turnpike,Shortcut
2020-08-05,0.5709871093060215,Toad's Turnpike,Shortcut
2020-08-05,0.5718700335511212,Toad's Turnpike,Shortcut
2020-08-05,0.5734592971923008,Toad's Turnpike,Shortcut
2020-08-05,0.5774324562952499,Toad's Turnpike,Shortcut
2020-08-05,0.5798163517570192,Toad's Turnpike,Shortcut
2020-08-06,0.5799046441815292,Toad's Turnpike,Shortcut
2020-08-07,0.5893519336040968,Toad's Turnpike,Shortcut
2020-08-07,0.5906763199717464,Toad's Turnpike,Shortcut
2020-08-07,0.592707045735476,Toad's Turnpike,Shortcut
2020-08-07,0.5942080169521454,Toad's Turnpike,Shortcut
2020-08-07,0.6016245806109835,Toad's Turnpike,Shortcut
2020-08-07,0.6021543351580434,Toad's Turnpike,Shortcut
2020-08-07,0.6024192124315734,Toad's Turnpike,Shortcut
1997-12-14,0,Frappe Snowland,No Shortcut
1998-03-09,0.007395626242544786,Frappe Snowland,No Shortcut
1998-09-04,0.009781312127236612,Frappe Snowland,No Shortcut
1998-09-06,0.010178926441351897,Frappe Snowland,No Shortcut
1998-09-11,0.01479125248508946,Frappe Snowland,No Shortcut
1998-09-22,0.015825049701789225,Frappe Snowland,No Shortcut
1998-10-02,0.016063618290258416,Frappe Snowland,No Shortcut
1998-09-28,0.01741550695825048,Frappe Snowland,No Shortcut
1999-01-19,0.025765407554671927,Frappe Snowland,No Shortcut
1999-02-14,0.029264413518886735,Frappe Snowland,No Shortcut
1999-04-19,0.029423459244532827,Frappe Snowland,No Shortcut
2002-07-01,0.032683896620278326,Frappe Snowland,No Shortcut
2003-04-18,0.03443339960238567,Frappe Snowland,No Shortcut
2003-07-03,0.03459244532803176,Frappe Snowland,No Shortcut
2003-07-03,0.03530815109343934,Frappe Snowland,No Shortcut
2003-07-10,0.03594433399602383,Frappe Snowland,No Shortcut
2006-01-15,0.03761431411530818,Frappe Snowland,No Shortcut
2008-03-14,0.037932405566600366,Frappe Snowland,No Shortcut
2011-11-23,0.03801192842942347,Frappe Snowland,No Shortcut
2011-11-27,0.03920477137176944,Frappe Snowland,No Shortcut
2011-12-16,0.03952286282306162,Frappe Snowland,No Shortcut
2013-02-06,0.0401590457256461,Frappe Snowland,No Shortcut
2014-11-07,0.04135188866799207,Frappe Snowland,No Shortcut
2014-11-07,0.04182902584493046,Frappe Snowland,No Shortcut
2015-02-10,0.04206759443339965,Frappe Snowland,No Shortcut
2015-02-17,0.04214711729622264,Frappe Snowland,No Shortcut
2015-05-16,0.042226640159045745,Frappe Snowland,No Shortcut
2015-05-28,0.04262425447316103,Frappe Snowland,No Shortcut
2015-07-31,0.04302186878727631,Frappe Snowland,No Shortcut
2015-11-26,0.043101391650099415,Frappe Snowland,No Shortcut
2015-11-30,0.0434990059642147,Frappe Snowland,No Shortcut
2016-03-23,0.043817097415506996,Frappe Snowland,No Shortcut
2016-04-05,0.044055666003976195,Frappe Snowland,No Shortcut
2016-04-09,0.04437375745526838,Frappe Snowland,No Shortcut
2016-04-20,0.04445328031809148,Frappe Snowland,No Shortcut
2016-07-13,0.04524850894632205,Frappe Snowland,No Shortcut
2017-12-18,0.045407554671968144,Frappe Snowland,No Shortcut
2017-12-18,0.045646123260437335,Frappe Snowland,No Shortcut
2017-12-21,0.04572564612326044,Frappe Snowland,No Shortcut
2017-12-23,0.046123260437375725,Frappe Snowland,No Shortcut
1998-12-01,0,Frappe Snowland,Shortcut
1998-12-04,0.0011164867882397147,Frappe Snowland,Shortcut
1998-12-10,0.004093784890212111,Frappe Snowland,Shortcut
1998-12-12,0.010048381094157037,Frappe Snowland,Shortcut
1999-02-14,0.010792705619650268,Frappe Snowland,Shortcut
1999-04-25,0.01898027540007449,Frappe Snowland,Shortcut
2001-07-15,0.01898027540007449,Frappe Snowland,Shortcut
2002-07-30,0.019352437662820972,Frappe Snowland,Shortcut
2002-07-30,0.021213248976553786,Frappe Snowland,Shortcut
2002-07-30,0.021957573502046888,Frappe Snowland,Shortcut
2002-07-30,0.024190547078526317,Frappe Snowland,Shortcut
2005-03-27,0.02791216970599181,Frappe Snowland,Shortcut
2007-08-22,0.029400818756978142,Frappe Snowland,Shortcut
2010-12-19,0.03312244138444364,Frappe Snowland,Shortcut
2011-02-16,0.03312244138444364,Frappe Snowland,Shortcut
2011-04-23,0.034611090435429835,Frappe Snowland,Shortcut
2011-04-25,0.03572757722366955,Frappe Snowland,Shortcut
2011-05-02,0.03609973948641616,Frappe Snowland,Shortcut
2012-06-30,0.03684406401190927,Frappe Snowland,Shortcut
2012-07-19,0.037588388537402366,Frappe Snowland,Shortcut
2012-11-23,0.037588388537402366,Frappe Snowland,Shortcut
2018-10-13,0.04131001116486786,Frappe Snowland,Shortcut
2020-12-21,0.11462597692593977,Frappe Snowland,Shortcut
2020-12-25,0.11537030145143287,Frappe Snowland,Shortcut
2020-12-28,0.11760327502791217,Frappe Snowland,Shortcut
2021-01-07,0.1198362486043916,Frappe Snowland,Shortcut
2021-01-08,0.1213248976553778,Frappe Snowland,Shortcut
1998-07-21,0,Choco Mountain,No Shortcut
1998-08-20,0.0014981273408240267,Choco Mountain,No Shortcut
1998-08-26,0.001997503121098702,Choco Mountain,No Shortcut
1998-09-01,0.0027465667915107157,Choco Mountain,No Shortcut
1998-09-02,0.003329171868497758,Choco Mountain,No Shortcut
1998-09-11,0.003828547648772434,Choco Mountain,No Shortcut
1998-09-13,0.005243445692883857,Choco Mountain,No Shortcut
1998-09-22,0.0068248023304203695,Choco Mountain,No Shortcut
1998-09-28,0.007823553890969602,Choco Mountain,No Shortcut
1998-10-11,0.009155222638368776,Choco Mountain,No Shortcut
1998-12-12,0.009737827715355937,Choco Mountain,No Shortcut
1998-12-15,0.01073657927590517,Choco Mountain,No Shortcut
1998-12-23,0.012234706616729079,Choco Mountain,No Shortcut
1998-12-24,0.013816063254265473,Choco Mountain,No Shortcut
1999-01-01,0.017894298793175244,Choco Mountain,No Shortcut
1999-05-05,0.018476903870162285,Choco Mountain,No Shortcut
1999-05-18,0.019309196837286786,Choco Mountain,No Shortcut
1999-05-18,0.020640865584685843,Choco Mountain,No Shortcut
1999-05-20,0.021556387848522707,Choco Mountain,No Shortcut
1999-06-14,0.023220973782771586,Choco Mountain,No Shortcut
2003-07-16,0.024469413233458158,Choco Mountain,No Shortcut
2004-07-06,0.02630045776113189,Choco Mountain,No Shortcut
2012-04-08,0.03329171868497711,Choco Mountain,No Shortcut
2013-12-01,0.03337494798168959,Choco Mountain,No Shortcut
2016-07-21,0.033874323761964274,Choco Mountain,No Shortcut
2019-01-26,0.03412401165210161,Choco Mountain,No Shortcut
2019-03-20,0.03412401165210161,Choco Mountain,No Shortcut
2019-03-20,0.0345401581356638,Choco Mountain,No Shortcut
2020-06-11,0.03478984602580114,Choco Mountain,No Shortcut
2020-07-12,0.03478984602580114,Choco Mountain,No Shortcut
2020-07-14,0.03512276321265084,Choco Mountain,No Shortcut
1998-10-08,0,Choco Mountain,Shortcut
1998-10-08,1.1971746677846421e-4,Choco Mountain,Shortcut
1998-12-01,0.002753501735903316,Choco Mountain,Shortcut
1999-05-25,0.016161858015084334,Choco Mountain,Shortcut
1999-06-04,0.02238716628756141,Choco Mountain,Shortcut
1999-09-10,0.02262660122111817,Choco Mountain,Shortcut
2002-08-25,0.028851909493595073,Choco Mountain,Shortcut
2002-09-03,0.029091344427152003,Choco Mountain,Shortcut
2002-09-03,0.031006823895606408,Choco Mountain,Shortcut
2007-04-15,0.10092182449419378,Choco Mountain,Shortcut
2007-05-08,0.13204836585657848,Choco Mountain,Shortcut
2014-11-09,0.14354124266730528,Choco Mountain,Shortcut
2014-11-10,0.24362504489405007,Choco Mountain,Shortcut
2015-01-16,0.363342511672453,Choco Mountain,Shortcut
2020-03-01,0.7898958458039028,Choco Mountain,Shortcut
1997-11-11,0,Mario Raceway,No Shortcut
1997-11-19,0.002406738868832719,Mario Raceway,No Shortcut
1998-01-05,0.005579258286839415,Mario Raceway,No Shortcut
1998-02-06,0.007985997155672135,Mario Raceway,No Shortcut
1998-03-08,0.008642380483535632,Mario Raceway,No Shortcut
1998-07-16,0.011158516573678985,Mario Raceway,No Shortcut
1998-10-02,0.01258068045071646,Mario Raceway,No Shortcut
1998-11-26,0.01586259709003379,Mario Raceway,No Shortcut
1998-12-15,0.016300185975276174,Mario Raceway,No Shortcut
1999-03-02,0.0208948692703205,Mario Raceway,No Shortcut
1999-09-11,0.022973416475221466,Mario Raceway,No Shortcut
2000-02-29,0.023957991467016715,Mario Raceway,No Shortcut
2000-11-01,0.025380155344054186,Mario Raceway,No Shortcut
2001-10-10,0.026255333114538797,Mario Raceway,No Shortcut
2002-02-18,0.026583524778470546,Mario Raceway,No Shortcut
2002-02-26,0.026911716442402294,Mario Raceway,No Shortcut
2002-08-25,0.027786894212886906,Mario Raceway,No Shortcut
2003-04-08,0.028443277540750402,Mario Raceway,No Shortcut
2003-04-24,0.029318455311235014,Mario Raceway,No Shortcut
2003-07-02,0.031068810852204393,Mario Raceway,No Shortcut
2003-07-07,0.03249097472924187,Mario Raceway,No Shortcut
2004-09-06,0.03358494694234759,Mario Raceway,No Shortcut
2005-09-05,0.03391313860627934,Mario Raceway,No Shortcut
2006-01-22,0.03489771359807459,Mario Raceway,No Shortcut
2007-04-09,0.036101083032490947,Mario Raceway,No Shortcut
2007-06-14,0.03621048025380158,Mario Raceway,No Shortcut
2007-08-08,0.03675746636035444,Mario Raceway,No Shortcut
2007-08-26,0.03708565802428619,Mario Raceway,No Shortcut
2011-08-16,0.037632644130839055,Mario Raceway,No Shortcut
2013-11-17,0.037632644130839055,Mario Raceway,No Shortcut
2014-01-13,0.037742041352149536,Mario Raceway,No Shortcut
2015-04-19,0.037742041352149536,Mario Raceway,No Shortcut
2015-09-19,0.038507821901323666,Mario Raceway,No Shortcut
2016-04-03,0.038507821901323666,Mario Raceway,No Shortcut
2016-07-28,0.038836013565255414,Mario Raceway,No Shortcut
2016-10-06,0.03894541078656605,Mario Raceway,No Shortcut
2016-10-16,0.03938299967180828,Mario Raceway,No Shortcut
2016-10-26,0.03938299967180828,Mario Raceway,No Shortcut
2016-11-11,0.04014878022098241,Mario Raceway,No Shortcut
2018-01-25,0.04036757466360352,Mario Raceway,No Shortcut
2018-01-25,0.04069576632753527,Mario Raceway,No Shortcut
2018-01-26,0.0411333552127775,Mario Raceway,No Shortcut
2018-03-07,0.041242752434088134,Mario Raceway,No Shortcut
2019-02-10,0.041242752434088134,Mario Raceway,No Shortcut
2020-06-11,0.04135214965539877,Mario Raceway,No Shortcut
2020-07-25,0.04189913576195163,Mario Raceway,No Shortcut
2020-07-27,0.04222732742588338,Mario Raceway,No Shortcut
2020-08-13,0.04266491631112561,Mario Raceway,No Shortcut
1997-12-14,0,Mario Raceway,Shortcut
1998-12-14,0.006890072032571214,Mario Raceway,Shortcut
2006-09-09,0.036955840901973055,Mario Raceway,Shortcut
2009-07-03,0.03711243344816783,Mario Raceway,Shortcut
2009-07-08,0.03805198872533667,Mario Raceway,Shortcut
2009-07-18,0.04071406201064832,Mario Raceway,Shortcut
2010-02-04,0.04274976511118066,Mario Raceway,Shortcut
2012-09-04,0.04290635765737554,Mario Raceway,Shortcut
2012-09-07,0.04447228311932346,Mario Raceway,Shortcut
2013-09-04,0.04619480112746638,Mario Raceway,Shortcut
2014-07-31,0.0477607265894143,Mario Raceway,Shortcut
2017-11-10,0.050266207328531175,Mario Raceway,Shortcut
2021-02-25,0.08409019730660816,Mario Raceway,Shortcut
1997-12-27,0,Wario Stadium,No Shortcut
1998-07-21,0.004547108039287014,Wario Stadium,No Shortcut
1998-07-31,0.007166242269916226,Wario Stadium,No Shortcut
1998-07-31,0.013241178610403736,Wario Stadium,No Shortcut
1998-08-20,0.013823208439432357,Wario Stadium,No Shortcut
1998-09-01,0.014950891233175544,Wario Stadium,No Shortcut
1998-09-06,0.015096398690432803,Wario Stadium,No Shortcut
1998-09-11,0.01924336122226251,Wario Stadium,No Shortcut
1998-09-22,0.0198617679156056,Wario Stadium,No Shortcut
1998-10-08,0.021062204437977315,Wario Stadium,No Shortcut
1998-10-24,0.024081484176064042,Wario Stadium,No Shortcut
1998-11-26,0.026700618406693254,Wario Stadium,No Shortcut
1999-02-21,0.027137140778464824,Wario Stadium,No Shortcut
1999-02-27,0.028555838486722322,Wario Stadium,No Shortcut
1999-05-04,0.03055656602400865,Wario Stadium,No Shortcut
1999-11-12,0.033393961440523645,Wario Stadium,No Shortcut
2002-01-22,0.033684976355038164,Wario Stadium,No Shortcut
